"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2014-06-15T07:22:54"	"1402816974"	"Rocks Off"	"568fc798-437e-47d1-b7fc-5adcd97d04b8"	"The Rolling Stones"	"b071f9fa-14b0-4217-8e97-eb41da73f598"	"Rocks Off"	"568fc798-437e-47d1-b7fc-5adcd97d04b8"	"The Rolling Stones"	"b071f9fa-14b0-4217-8e97-eb41da73f598"
"2014-06-15T07:22:55"	"1402816975"	"Let It Bleed"	"15f7d939-725d-4f0a-920a-5eb6e9e5772a"	"The Rolling Stones"	"b071f9fa-14b0-4217-8e97-eb41da73f598"	"Let It Bleed"	"15f7d939-725d-4f0a-920a-5eb6e9e5772a"	"The Rolling Stones"	"b071f9fa-14b0-4217-8e97-eb41da73f598"
"2014-06-15T07:22:58"	"1402816978"	"Professional Widow"	"342158e1-225b-4417-98bd-943d63f65578"	"Tori Amos"	"c0b2500e-0cef-4130-869d-732b23ed9df5"	"Professional Widow"	"342158e1-225b-4417-98bd-943d63f65578"	"Tori Amos"	"c0b2500e-0cef-4130-869d-732b23ed9df5"
"2014-06-15T07:23:00"	"1402816980"	"Welcome To The Boomtown"	"01f04a70-2c98-4db1-80ee-4f73e03d260b"	"David & David"	"19ca09ed-6bda-4a2f-9796-15c4e50bec75"	"Welcome To The Boomtown"	"01f04a70-2c98-4db1-80ee-4f73e03d260b"	"David & David"	"19ca09ed-6bda-4a2f-9796-15c4e50bec75"
"2014-06-15T07:23:15"	"1402816995"	"What Is And What Should Never Be (Live)"	""	"Led Zeppelin"	"678d88b2-87b0-403b-b63d-5da7465aecc3"	"What Is And What Should Never Be (Live)"	""	"Led Zeppelin"	"678d88b2-87b0-403b-b63d-5da7465aecc3"
"2014-06-20T05:41:13"	"1403242873"	"Storms"	"000eee39-0ced-44b4-bbe7-237edbb4df88"	"Fleetwood Mac"	"bd13909f-1c29-4c27-a874-d4aaf27c5b1a"	"Storms"	"000eee39-0ced-44b4-bbe7-237edbb4df88"	"Fleetwood Mac"	"bd13909f-1c29-4c27-a874-d4aaf27c5b1a"
"2014-06-20T05:42:30"	"1403242950"	"Trouble Man - Soundtrack Version"	""	"Marvin Gaye"	"afdb7919-059d-43c1-b668-ba1d265e7e42"	"Trouble Man - Soundtrack Version"	""	"Marvin Gaye"	"afdb7919-059d-43c1-b668-ba1d265e7e42"
"2014-06-20T05:56:52"	"1403243812"	"Genie 2.0"	"02829251-14ee-499c-a21b-11940bd16186"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"	"Genie 2.0"	"02829251-14ee-499c-a21b-11940bd16186"	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"
"2014-06-20T05:59:53"	"1403243993"	"Army of Me"	""	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"	"Army of Me"	""	"Christina Aguilera"	"b202beb7-99bd-47e7-8b72-195c8d72ebdd"
"2014-06-26T04:23:10"	"1403756590"	"This Angel - Live From Marathon Music Works"	""	"Jennifer Nettles"	"3f13323d-8659-4aeb-978f-880694f3feea"	"This Angel - Live From Marathon Music Works"	""	"Jennifer Nettles"	"3f13323d-8659-4aeb-978f-880694f3feea"
"2014-06-26T04:26:52"	"1403756812"	"National Anthem"	"4211cf0c-e3c2-400a-b480-40a90134ee6a"	"Lana Del Rey"	"b7539c32-53e7-4908-bda3-81449c367da6"	"National Anthem"	"4211cf0c-e3c2-400a-b480-40a90134ee6a"	"Lana Del Rey"	"b7539c32-53e7-4908-bda3-81449c367da6"
"2014-06-26T04:34:15"	"1403757255"	"What's Going On"	"d0373b00-ee3d-4faf-9c50-0b47533e8c47"	"Marvin Gaye"	"afdb7919-059d-43c1-b668-ba1d265e7e42"	"What's Going On"	"d0373b00-ee3d-4faf-9c50-0b47533e8c47"	"Marvin Gaye"	"afdb7919-059d-43c1-b668-ba1d265e7e42"
"2014-06-26T04:38:43"	"1403757523"	"Video Games"	"9eeac734-da6f-486a-94c5-6e5b53e6f3f1"	"Lana Del Rey"	"b7539c32-53e7-4908-bda3-81449c367da6"	"Video Games"	"9eeac734-da6f-486a-94c5-6e5b53e6f3f1"	"Lana Del Rey"	"b7539c32-53e7-4908-bda3-81449c367da6"
"2014-06-27T03:51:03"	"1403841063"	"Little Fire - Feat. Emmylou Harris"	""	"Patty Griffin"	"6fddcfc3-20b6-48d0-87ba-8211eca3420c"	"Little Fire - Feat. Emmylou Harris"	""	"Patty Griffin"	"6fddcfc3-20b6-48d0-87ba-8211eca3420c"
"2014-06-27T03:51:11"	"1403841071"	"400 Lux"	"07ffb4a6-d57c-4585-a1df-7b7ebadd02f5"	"Lorde"	"14cd21f6-df8e-4bff-af75-0dcfeb307c5d"	"400 Lux"	"07ffb4a6-d57c-4585-a1df-7b7ebadd02f5"	"Lorde"	"14cd21f6-df8e-4bff-af75-0dcfeb307c5d"
"2014-06-27T03:51:13"	"1403841073"	"Love And Only Love"	"03b47f8a-ae2a-45f3-987f-f0d52a0d65b3"	"Neil Young"	"053e3289-1cab-4b44-9535-9ab1beb3b207"	"Love And Only Love"	"03b47f8a-ae2a-45f3-987f-f0d52a0d65b3"	"Neil Young"	"053e3289-1cab-4b44-9535-9ab1beb3b207"
"2014-06-27T07:37:41"	"1403854661"	"Embraceable You"	""	"Miles Davis & Charlie Parker"	""	"Embraceable You"	""	"Miles Davis & Charlie Parker"	""
"2014-07-03T03:05:24"	"1404356724"	"Catfish Blues"	"f8bbf6df-8d76-4862-8933-e5df34f04fce"	"Jimi Hendrix"	"06fb1c8b-566e-4cb2-985b-b467c90781d4"	"Catfish Blues"	"f8bbf6df-8d76-4862-8933-e5df34f04fce"	"Jimi Hendrix"	"06fb1c8b-566e-4cb2-985b-b467c90781d4"
"2014-07-05T01:59:40"	"1404525580"	"Polk Salad Annie - The Afternoon Show, 2012 Mix"	""	"Elvis Presley"	"01809552-4f87-45b0-afff-2c6f0730a3be"	"Polk Salad Annie - The Afternoon Show, 2012 Mix"	""	"Elvis Presley"	"01809552-4f87-45b0-afff-2c6f0730a3be"
"2014-08-28T02:45:32"	"1409193932"	"Where the Streets Have No Name"	"9cf7f323-f17f-41f9-b469-10a88300973d"	"U2"	"704acdbb-1415-4782-b0b6-0596b8c55e46"	"Where the Streets Have No Name"	"9cf7f323-f17f-41f9-b469-10a88300973d"	"U2"	"704acdbb-1415-4782-b0b6-0596b8c55e46"
